Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
716,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32.0,1993,31,21,1852,20.6,0,6,6,0,0,0,3,0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,716,fr FRA,DF,eng Premier League,32,1993,20.6,0,14,5,35.7,0.68,0.24,0.00,0.00,0,0,880,fr FRA,DF,eng Premier League,32,1993,31,1852,60,54.2,20.6,21,80,10,10,16,7,1.77,29,23,+6,+0.29,+0.23,716,fr FRA,DF,eng Premier League,32,1993,20.6,3,0,0,14,12,3,108,13,26,0
717,Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,28.0,1996,30,28,2464,27.4,5,0,5,1,4,4,6,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,717,id IDN,DF,de Bundesliga,28,1996,27.4,5,23,13,56.5,0.84,0.47,0.04,0.08,4,4,881,id IDN,DF,de Bundesliga,28,1996,30,2464,82,80.5,27.4,28,87,23,2,18,0,1.20,40,43,-3,-0.11,+1.10,717,id IDN,DF,de Bundesliga,28,1996,27.4,6,0,0,15,22,1,5,24,30,0
718,Federico Dimarco,it ITA,MF,Inter,it Serie A,27.0,1997,35,30,2698,30.0,7,16,23,7,0,0,3,0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,718,it ITA,MF,it Serie A,27,1997,30.0,7,65,22,33.8,2.17,0.73,0.11,0.32,0,0,883,it ITA,MF,it Serie A,27,1997,35,2698,77,78.9,30.0,30,84,20,5,36,3,2.23,73,27,+46,+1.53,+0.54,718,it ITA,MF,it Serie A,27,1997,30.0,3,0,0,41,23,5,295,30,31,0
719,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31.0,1993,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.00,42,mk MKD,GK,es La Liga,31,1993,20,20,1800,20.0,25,1.25,74,52,70.3,10,3,7,5,25.0,4,3,0,1,719,mk MKD,GK,es La Liga,31,1993,20.0,0,0,0,,0.00,0.00,,,0,0,884,mk MKD,GK,es La Liga,31,1993,20,1800,90,52.6,20.0,20,90,20,0,,15,1.65,29,25,+4,+0.20,+0.92,719,mk MKD,GK,es La Liga,31,1993,20.0,1,0,0,0,4,0,0,1,0,0
720,Junior Dina Ebimbe,cm CMR,MF,Brest,fr Ligue 1,24.0,2000,27,15,1165,12.9,5,0,5,5,0,0,3,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,720,cm CMR,MF,fr Ligue 1,24,2000,12.9,5,27,9,33.3,2.09,0.70,0.19,0.56,0,0,885,cm CMR,MF,fr Ligue 1,24,2000,27,1165,43,38.1,12.9,15,66,1,12,14,2,1.04,15,21,-6,-0.46,-0.18,720,cm CMR,MF,fr Ligue 1,24,2000,12.9,3,0,0,22,15,3,4,6,16,0
721,Eren Dinkçi,de GER,"MF,FW",Heidenheim,de Bundesliga,23.0,2001,14,13,1131,12.6,3,1,4,3,0,0,3,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,721,de GER,"MF,FW",de Bundesliga,23,2001,12.6,3,25,9,36.0,1.99,0.72,0.12,0.33,0,0,886,de GER,"MF,FW",de Bundesliga,23,2001,14,1131,81,37.0,12.6,13,85,7,1,28,0,0.93,22,24,-2,-0.16,+1.19,721,de GER,"MF,FW",de Bundesliga,23,2001,12.6,3,0,0,9,4,0,22,5,13,0
722,Eren Dinkçi,de GER,MF,Freiburg,de Bundesliga,23.0,2001,8,3,248,2.8,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,722,de GER,MF,de Bundesliga,23,2001,2.8,0,4,0,0.0,1.45,0.00,0.00,,0,0,887,de GER,MF,de Bundesliga,23,2001,8,248,31,8.1,2.8,3,62,0,5,12,0,1.13,4,7,-3,-1.09,-0.99,722,de GER,MF,de Bundesliga,23,2001,2.8,1,0,0,2,1,0,10,4,4,0
723,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,24.0,2001,24,24,2131,23.7,2,2,4,2,0,0,4,1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,723,ci CIV,DF,fr Ligue 1,24,2001,23.7,2,9,4,44.4,0.38,0.17,0.22,0.50,0,0,888,ci CIV,DF,fr Ligue 1,24,2001,24,2131,89,69.6,23.7,24,89,21,0,,1,1.13,27,29,-2,-0.08,+0.69,723,ci CIV,DF,fr Ligue 1,24,2001,23.7,4,1,1,31,26,2,0,33,17,0
724,Yan Diomandé,ci CIV,"FW,MF",RB Leipzig,de Bundesliga,18.0,2006,33,28,2472,27.5,12,8,20,12,0,0,2,0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,724,ci CIV,"FW,MF",de Bundesliga,18,2006,27.5,12,53,26,49.1,1.93,0.95,0.23,0.46,0,0,889,ci CIV,"FW,MF",de Bundesliga,18,2006,33,2472,75,80.8,27.5,28,84,11,5,27,0,1.97,55,35,+20,+0.73,+0.88,724,ci CIV,"FW,MF",de Bundesliga,18,2006,27.5,2,0,0,19,34,7,45,16,19,0
725,Issa Diop,ma MAR,DF,Fulham,eng Premier League,28.0,1997,13,8,816,9.1,1,0,1,1,0,0,2,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,725,ma MAR,DF,eng Premier League,28,1997,9.1,1,2,1,50.0,0.22,0.11,0.50,1.00,0,0,890,ma MAR,DF,eng Premier League,28,1997,13,816,63,23.9,9.1,8,89,6,5,21,12,1.31,11,13,-2,-0.22,-0.15,725,ma MAR,DF,eng Premier League,28,1997,9.1,2,0,0,9,3,0,1,6,2,0
726,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,20.0,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,726,sn SEN,FW,fr Ligue 1,20,2005,0.1,0,1,0,0.0,7.50,0.00,0.00,,0,0,892,sn SEN,FW,fr Ligue 1,20,2005,2,12,6,0.4,0.1,0,,0,2,6,9,0.00,0,1,-1,-7.50,-7.18,726,sn SEN,FW,fr Ligue 1,20,2005,0.1,0,0,0,0,0,0,1,0,0,0
727,Sofiane Diop,ma MAR,"MF,FW",Nice,fr Ligue 1,25.0,2000,33,26,2130,23.7,8,2,10,6,2,2,5,0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,727,ma MAR,"MF,FW",fr Ligue 1,25,2000,23.7,8,54,17,31.5,2.28,0.72,0.11,0.35,2,2,893,ma MAR,"MF,FW",fr Ligue 1,25,2000,33,2130,65,69.6,23.7,26,75,5,7,27,0,0.97,29,43,-14,-0.59,+0.28,727,ma MAR,"MF,FW",fr Ligue 1,25,2000,23.7,5,0,0,22,46,7,37,18,9,0
728,Andy Diouf,fr FRA,MF,Inter,it Serie A,22.0,2003,19,4,493,5.5,1,0,1,1,0,0,1,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,728,fr FRA,MF,it Serie A,22,2003,5.5,1,10,3,30.0,1.83,0.55,0.10,0.33,0,0,895,fr FRA,MF,it Serie A,22,2003,19,493,26,14.4,5.5,4,75,2,15,13,17,2.37,16,5,+11,+2.01,+0.69,728,fr FRA,MF,it Serie A,22,2003,5.5,1,0,0,5,3,1,6,1,6,0
729,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22.0,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,729,fr FRA,MF,fr Ligue 1,22,2003,1.0,0,3,1,33.3,3.00,1.00,0.00,0.00,0,0,896,fr FRA,MF,fr Ligue 1,22,2003,1,90,90,2.9,1.0,1,90,1,0,,0,0.00,0,1,-1,-1.00,-1.97,729,fr FRA,MF,fr Ligue 1,22,2003,1.0,0,0,0,0,1,0,0,0,0,0
730,El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham United,eng Premier League,20.0,2004,32,30,2707,30.1,0,5,5,0,0,0,6,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,730,sn SEN,"DF,MF",eng Premier League,20,2004,30.1,0,18,4,22.2,0.60,0.13,0.00,0.00,0,0,897,sn SEN,"DF,MF",eng Premier League,20,2004,32,2707,85,79.2,30.1,30,88,24,2,33,0,1.09,38,47,-9,-0.30,+0.96,730,sn SEN,"DF,MF",eng Premier League,20,2004,30.1,6,0,0,28,25,2,109,32,19,0
731,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,25.0,1999,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.00,43,sn SEN,GK,fr Ligue 1,25,1999,26,26,2340,26.0,45,1.73,130,91,69.2,6,7,13,5,19.2,7,5,1,1,731,sn SEN,GK,fr Ligue 1,25,1999,26.0,0,0,0,,0.00,0.00,,,0,0,898,sn SEN,GK,fr Ligue 1,25,1999,26,2340,90,76.5,26.0,26,90,26,0,,6,0.96,26,45,-19,-0.73,-0.23,731,sn SEN,GK,fr Ligue 1,25,1999,26.0,1,0,0,0,4,0,0,2,0,0
732,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,27.0,1997,15,1,219,2.4,0,0,0,0,0,0,3,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,732,sn SEN,MF,fr Ligue 1,27,1997,2.4,0,4,1,25.0,1.64,0.41,0.00,0.00,0,0,899,sn SEN,MF,fr Ligue 1,27,1997,15,219,15,7.2,2.4,1,68,0,14,11,19,1.07,3,10,-7,-2.88,-2.78,732,sn SEN,MF,fr Ligue 1,27,1997,2.4,3,0,0,7,3,0,6,6,1,0
733,Axel Disasi,fr FRA,DF,West Ham United,eng Premier League,27.0,1998,14,14,1254,13.9,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,733,fr FRA,DF,eng Premier League,27,1998,13.9,0,5,3,60.0,0.36,0.22,0.00,0.00,0,0,900,fr FRA,DF,eng Premier League,27,1998,14,1254,90,36.7,13.9,14,90,13,0,,0,1.36,17,17,0,0.00,+0.79,733,fr FRA,DF,eng Premier League,27,1998,13.9,1,0,0,5,4,1,0,12,10,1
734,Matías Dituro,ar ARG,GK,Elche,es La Liga,38.0,1987,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.00,44,ar ARG,GK,es La Liga,38,1987,22,22,1980,22.0,29,1.32,89,64,71.9,7,9,6,4,18.2,5,4,0,1,734,ar ARG,GK,es La Liga,38,1987,22.0,0,0,0,,0.00,0.00,,,0,0,901,ar ARG,GK,es La Liga,38,1987,22,1980,90,57.9,22.0,22,90,22,0,,16,1.36,28,29,-1,-0.05,+0.39,734,ar ARG,GK,es La Liga,38,1987,22.0,1,0,0,0,7,0,0,1,0,0
735,Djené,tg TOG,"DF,MF",Getafe,es La Liga,33.0,1991,34,32,2578,28.6,0,0,0,0,0,0,10,2,0.00,,,,,,,,,,,,,,,,,,,,,,,,,735,tg TOG,"DF,MF",es La Liga,33,1991,28.6,0,4,0,0.0,0.14,0.00,0.00,,0,0,902,tg TOG,"DF,MF",es La Liga,33,1991,34,2578,76,75.4,28.6,32,79,21,2,30,0,1.32,24,29,-5,-0.17,-0.07,735,tg TOG,"DF,MF",es La Liga,33,1991,28.6,10,2,0,35,26,0,11,38,24,0
736,Harouna Djibrin,cm CMR,MF,Angers,fr Ligue 1,18.0,2006,15,1,336,3.7,2,1,3,2,0,0,2,0,0.80,,,,,,,,,,,,,,,,,,,,,,,,,736,cm CMR,MF,fr Ligue 1,18,2006,3.7,2,7,3,42.9,1.87,0.80,0.29,0.67,0,0,903,cm CMR,MF,fr Ligue 1,18,2006,15,336,22,11.0,3.7,1,60,0,14,20,3,1.20,7,5,+2,+0.54,+1.23,736,cm CMR,MF,fr Ligue 1,18,2006,3.7,2,0,0,9,8,0,8,5,4,0
737,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32.0,1993,34,29,2525,28.1,0,0,0,0,0,0,4,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,737,al ALB,DF,it Serie A,32,1993,28.1,0,16,2,12.5,0.57,0.07,0.00,0.00,0,0,904,al ALB,DF,it Serie A,32,1993,34,2525,74,73.8,28.1,29,83,23,5,23,1,1.44,32,25,+7,+0.25,-0.55,737,al ALB,DF,it Serie A,32,1993,28.1,4,0,0,17,8,0,2,42,30,0
738,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33.0,1992,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.00,45,rs SRB,GK,es La Liga,33,1992,37,37,3330,37.0,54,1.46,182,133,73.1,12,9,16,10,27.0,5,5,0,0,738,rs SRB,GK,es La Liga,33,1992,37.0,0,0,0,,0.00,0.00,,,0,0,905,rs SRB,GK,es La Liga,33,1992,37,3330,90,97.4,37.0,37,90,37,0,,1,1.22,42,54,-12,-0.32,-0.32,738,rs SRB,GK,es La Liga,33,1992,37.0,0,0,0,0,5,0,0,0,2,0
739,Henrick Do Marcolino,fr FRA,FW,Rennes,fr Ligue 1,19.0,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,739,fr FRA,FW,fr Ligue 1,19,2006,0.0,0,0,0,,0.00,0.00,,,0,0,906,fr FRA,FW,fr Ligue 1,19,2006,1,3,3,0.1,0.0,0,,0,1,3,5,3.00,0,0,0,0.00,-0.26,739,fr FRA,FW,fr Ligue 1,19,2006,0.0,0,0,0,0,0,0,0,2,1,0
740,Ritsu Doan,jp JPN,MF,Eintracht Frankfurt,de Bundesliga,27.0,1998,31,28,2364,26.3,5,5,10,5,0,0,5,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,740,jp JPN,MF,de Bundesliga,27,1998,26.3,5,41,15,36.6,1.56,0.57,0.12,0.33,0,0,907,jp JPN,MF,de Bundesliga,27,1998,31,2364,76,77.3,26.3,28,81,11,3,33,1,1.32,50,44,+6,+0.23,+1.52,740,jp JPN,MF,de Bundesliga,27,1998,26.3,5,0,0,26,35,3,111,17,23,0
741,Dodô,br BRA,"DF,MF",Fiorentina,it Serie A,26.0,1998,36,36,3134,34.8,1,2,3,1,0,0,7,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,741,br BRA,"DF,MF",it Serie A,26,1998,34.8,1,25,4,16.0,0.72,0.11,0.04,0.25,0,0,908,br BRA,"DF,MF",it Serie A,26,1998,36,3134,87,91.6,34.8,36,87,30,0,,0,1.08,39,46,-7,-0.20,+0.43,741,br BRA,"DF,MF",it Serie A,26,1998,34.8,7,0,0,22,53,2,153,31,18,0
742,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27.0,1998,34,34,3060,34.0,5,0,5,5,0,0,4,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,742,nl NED,DF,de Bundesliga,27,1998,34.0,5,45,11,24.4,1.32,0.32,0.11,0.45,0,0,909,nl NED,DF,de Bundesliga,27,1998,34,3060,90,100.0,34.0,34,90,34,0,,0,1.15,44,58,-14,-0.41,,742,nl NED,DF,de Bundesliga,27,1998,34.0,4,0,0,28,15,1,6,42,31,0
743,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,33.0,1992,11,11,787,8.7,0,0,0,0,0,0,4,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,743,ie IRL,"DF,MF",eng Premier League,33,1992,8.7,0,3,0,0.0,0.34,0.00,0.00,,0,0,910,ie IRL,"DF,MF",eng Premier League,33,1992,11,787,72,23.0,8.7,11,72,3,0,,15,0.45,2,15,-13,-1.49,-0.53,743,ie IRL,"DF,MF",eng Premier League,33,1992,8.7,4,0,0,16,6,0,8,7,8,0
744,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23.0,2002,30,22,1917,21.3,0,0,0,0,0,0,5,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,744,sct SCO,DF,it Serie A,23,2002,21.3,0,11,4,36.4,0.52,0.19,0.00,0.00,0,0,911,sct SCO,DF,it Serie A,23,2002,30,1917,64,56.1,21.3,22,81,11,8,17,7,1.10,20,31,-11,-0.52,-0.94,744,sct SCO,DF,it Serie A,23,2002,21.3,5,0,0,16,19,0,39,22,20,0
745,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23.0,2002,30,19,1784,19.8,5,5,10,5,0,0,0,0,0.50,,,,,,,,,,,,,,,,,,,,,,,,,745,be BEL,"MF,FW",eng Premier League,23,2002,19.8,5,39,15,38.5,1.97,0.76,0.13,0.33,0,0,912,be BEL,"MF,FW",eng Premier League,23,2002,30,1784,59,52.2,19.8,19,80,5,11,25,1,1.87,43,18,+25,+1.26,+0.33,745,be BEL,"MF,FW",eng Premier League,23,2002,19.8,0,0,0,23,61,3,62,12,16,0
746,Tyrhys Dolan,eng ENG,MF,Espanyol,es La Liga,23.0,2001,36,28,2415,26.8,2,5,7,2,0,0,7,1,0.26,,,,,,,,,,,,,,,,,,,,,,,,,746,eng ENG,MF,es La Liga,23,2001,26.8,2,34,12,35.3,1.27,0.45,0.06,0.17,0,0,913,eng ENG,MF,es La Liga,23,2001,36,2415,67,70.6,26.8,28,76,3,8,36,0,1.11,32,39,-7,-0.26,+0.19,746,eng ENG,MF,es La Liga,23,2001,26.8,7,1,1,37,46,5,105,15,35,0
747,Marc Domenech,es ESP,MF,Mallorca,es La Liga,19.0,2006,7,2,214,2.4,0,1,1,0,0,0,0,0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,747,es ESP,MF,es La Liga,19,2006,2.4,0,3,0,0.0,1.26,0.00,0.00,,0,0,914,es ESP,MF,es La Liga,19,2006,7,214,31,6.3,2.4,2,61,0,5,18,10,0.86,3,2,+1,+0.42,+0.73,747,es ESP,MF,es La Liga,19,2006,2.4,0,0,0,3,3,0,7,0,2,0
748,Benjamín Domínguez,ar ARG,MF,Bologna,it Serie A,21.0,2003,15,6,547,6.1,0,3,3,0,0,0,1,0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,748,ar ARG,MF,it Serie A,21,2003,6.1,0,12,2,16.7,1.97,0.33,0.00,0.00,0,0,917,ar ARG,MF,it Serie A,21,2003,15,547,36,16.0,6.1,6,67,1,9,16,19,1.60,9,6,+3,+0.49,+0.49,748,ar ARG,MF,it Serie A,21,2003,6.1,1,0,0,6,18,3,7,2,2,0
749,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24.0,2001,8,6,610,6.8,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,749,es ESP,DF,es La Liga,24,2001,6.8,0,2,1,50.0,0.30,0.15,0.00,0.00,0,0,918,es ESP,DF,es La Liga,24,2001,8,610,76,17.8,6.8,6,89,5,2,38,20,1.25,10,12,-2,-0.30,-0.52,749,es ESP,DF,es La Liga,24,2001,6.8,1,0,0,6,1,0,1,5,8,0
750,Nicolás Domínguez,ar ARG,MF,Nottingham Forest,eng Premier League,27.0,1998,27,17,1175,13.1,1,1,2,1,0,0,3,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,750,ar ARG,MF,eng Premier League,27,1998,13.1,1,18,5,27.8,1.38,0.38,0.06,0.20,0,0,919,ar ARG,MF,eng Premier League,27,1998,27,1175,44,34.4,13.1,17,60,1,10,15,4,1.26,15,19,-4,-0.31,-0.35,750,ar ARG,MF,eng Premier League,27,1998,13.1,3,0,0,16,11,0,14,6,30,0
751,Jean-Luc Dompé,fr FRA,"FW,MF",Hamburger SV,de Bundesliga,29.0,1995,20,12,1138,12.6,3,0,3,2,1,1,0,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,751,fr FRA,"FW,MF",de Bundesliga,29,1995,12.6,3,25,12,48.0,1.98,0.95,0.08,0.17,1,1,920,fr FRA,"FW,MF",de Bundesliga,29,1995,20,1138,57,37.2,12.6,12,81,5,8,21,3,1.05,16,14,+2,+0.16,+0.91,751,fr FRA,"FW,MF",de Bundesliga,29,1995,12.6,0,0,0,2,9,4,82,0,5,0
752,John Donald,es ESP,"DF,MF",Elche,es La Liga,24.0,2000,21,6,665,7.4,1,0,1,1,0,0,3,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,752,es ESP,"DF,MF",es La Liga,24,2000,7.4,1,6,2,33.3,0.81,0.27,0.17,0.50,0,0,921,es ESP,"DF,MF",es La Liga,24,2000,21,665,32,19.4,7.4,6,77,4,15,14,11,1.24,12,17,-5,-0.68,-0.58,752,es ESP,"DF,MF",es La Liga,24,2000,7.4,3,0,0,17,6,0,0,8,12,0
753,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26.0,1999,34,34,3060,34.0,0,0,0,0,0,0,8,0,0.00,46,it ITA,GK,eng Premier League,26,1999,34,34,3060,34.0,29,0.85,105,75,72.4,22,9,3,15,44.1,1,0,1,0,753,it ITA,GK,eng Premier League,26,1999,34.0,0,0,0,,0.00,0.00,,,0,0,923,it ITA,GK,eng Premier League,26,1999,34,3060,90,89.5,34.0,34,90,34,0,,0,2.21,71,29,+42,+1.24,+1.24,753,it ITA,GK,eng Premier League,26,1999,34.0,8,0,0,0,4,0,0,1,0,0
754,Romelle Donovan,eng ENG,FW,Brentford,eng Premier League,18.0,2006,4,0,41,0.5,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,754,eng ENG,FW,eng Premier League,18,2006,0.5,0,3,1,33.3,6.59,2.20,0.00,0.00,0,0,924,eng ENG,FW,eng Premier League,18,2006,4,41,10,1.2,0.5,0,,0,4,10,19,1.50,2,0,+2,+4.39,+4.36,754,eng ENG,FW,eng Premier League,18,2006,0.5,0,0,0,2,3,0,2,0,0,0
755,Patrick Dorgu,dk DEN,MF,Manchester Utd,eng Premier League,20.0,2004,26,15,1449,16.1,4,4,8,4,0,0,5,0,0.50,,,,,,,,,,,,,,,,,,,,,,,,,755,dk DEN,MF,eng Premier League,20,2004,16.1,4,25,11,44.0,1.55,0.68,0.16,0.36,0,0,925,dk DEN,MF,eng Premier League,20,2004,26,1449,56,42.4,16.1,15,84,10,11,17,2,1.73,22,20,+2,+0.12,-0.65,755,dk DEN,MF,eng Premier League,20,2004,16.1,5,0,0,23,47,7,57,16,30,0
756,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27.0,1998,32,27,2258,25.1,0,1,1,0,0,0,2,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,756,de GER,MF,de Bundesliga,27,1998,25.1,0,14,3,21.4,0.56,0.12,0.00,0.00,0,0,926,de GER,MF,de Bundesliga,27,1998,32,2258,71,73.8,25.1,27,79,10,5,24,1,0.81,28,51,-23,-0.92,-0.02,756,de GER,MF,de Bundesliga,27,1998,25.1,2,0,0,30,27,1,33,19,31,0
757,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,26.0,1998,12,9,859,9.5,0,1,1,0,0,0,5,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,757,it ITA,DF,it Serie A,26,1998,9.5,0,7,2,28.6,0.73,0.21,0.00,0.00,0,0,928,it ITA,DF,it Serie A,26,1998,12,859,72,25.1,9.5,9,90,9,3,16,4,1.25,5,12,-7,-0.73,-0.52,757,it ITA,DF,it Serie A,26,1998,9.5,5,0,0,11,8,2,0,9,13,0
758,Lohann Doucet,bf BFA,MF,Paris FC,fr Ligue 1,22.0,2002,5,1,121,1.3,1,0,1,1,0,0,2,0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,758,bf BFA,MF,fr Ligue 1,22,2002,1.3,1,2,1,50.0,1.49,0.74,0.50,1.00,0,0,929,bf BFA,MF,fr Ligue 1,22,2002,5,121,24,4.0,1.3,1,60,0,4,15,4,0.80,1,5,-4,-2.98,-3.01,758,bf BFA,MF,fr Ligue 1,22,2002,1.3,2,0,0,4,1,0,0,0,0,0
759,Fodé Doucouré,ml MLI,"MF,FW",Le Havre,fr Ligue 1,24.0,2001,26,15,1239,13.8,3,1,4,3,0,0,2,0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,759,ml MLI,"MF,FW",fr Ligue 1,24,2001,13.8,3,20,8,40.0,1.45,0.58,0.15,0.38,0,0,930,ml MLI,"MF,FW",fr Ligue 1,24,2001,26,1239,48,40.5,13.8,15,66,0,11,23,5,0.96,19,19,0,0.00,+0.59,759,ml MLI,"MF,FW",fr Ligue 1,24,2001,13.8,2,0,0,14,4,2,78,9,26,0
760,Mamedi Doucouré,fr FRA,DF,Genoa,it Serie A,18.0,2007,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,760,fr FRA,DF,it Serie A,18,2007,0.1,0,0,0,,0.00,0.00,,,0,0,931,fr FRA,DF,it Serie A,18,2007,1,9,9,0.3,0.1,0,,0,1,9,5,1.00,0,0,0,0.00,+0.26,760,fr FRA,DF,it Serie A,18,2007,0.1,0,0,0,0,0,0,0,0,0,0
761,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,20.0,2005,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,761,fr FRA,DF,fr Ligue 1,20,2005,1.5,0,1,0,0.0,0.67,0.00,0.00,,0,0,932,fr FRA,DF,fr Ligue 1,20,2005,2,135,68,4.4,1.5,1,90,1,1,45,8,1.50,1,0,+1,+0.67,+1.41,761,fr FRA,DF,fr Ligue 1,20,2005,1.5,0,0,0,1,0,0,0,5,0,0
762,Désiré Doué,fr FRA,"FW,MF",Paris Saint-Germain,fr Ligue 1,20.0,2005,23,16,1348,15.0,7,4,11,7,0,1,0,0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,762,fr FRA,"FW,MF",fr Ligue 1,20,2005,15.0,7,55,19,34.5,3.67,1.27,0.13,0.37,0,1,933,fr FRA,"FW,MF",fr Ligue 1,20,2005,23,1348,59,44.1,15.0,16,69,2,7,34,2,2.35,34,14,+20,+1.34,+0.02,762,fr FRA,"FW,MF",fr Ligue 1,20,2005,15.0,0,0,0,24,28,0,56,12,20,0
763,Guela Doué,ci CIV,"DF,MF",Strasbourg,fr Ligue 1,22.0,2002,24,23,2061,22.9,2,6,8,2,0,0,3,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,763,ci CIV,"DF,MF",fr Ligue 1,22,2002,22.9,2,12,5,41.7,0.52,0.22,0.17,0.40,0,0,934,ci CIV,"DF,MF",fr Ligue 1,22,2002,24,2061,86,67.4,22.9,23,88,19,1,30,0,1.63,46,32,+14,+0.61,+0.88,763,ci CIV,"DF,MF",fr Ligue 1,22,2002,22.9,3,0,0,42,24,0,52,27,38,0
